Restaurant Name,City,Cuisines,Aggregate rating,Average Cost for two
Hind Bakery & Chinese Fast Food,New Delhi,Fast Food,0.0,150
Hot Pot,New Delhi,Chinese,0.0,150
Punjabi Flavour,New Delhi,North Indian,0.0,100
Saras Fast Food Feast,New Delhi,"North Indian, South Indian",0.0,300
Shama Chicken Corner,New Delhi,"Biryani, Mughlai",0.0,300
The Night Owl,New Delhi,Chinese,0.0,450
Wimpy Sweets And Confectioners,New Delhi,"Bakery, Mithai",0.0,150
Boa Village,New Delhi,"Chinese, Japanese, Korean, Asian",4.0,1500
Anand Ji Restaurant,New Delhi,"Chinese, North Indian, Street Food",3.1,400
Baskin Robbins,New Delhi,Ice Cream,3.3,300
Bhoj Restaurant,New Delhi,"North Indian, Mughlai",2.8,600
Brijwasi Restaurant,New Delhi,"North Indian, Chinese",2.8,400
Cafe Coffee Day - The Lounge,New Delhi,Cafe,3.2,750
Cafe Coffee Day,New Delhi,Cafe,2.9,450
Chaat Tadka,New Delhi,"North Indian, Street Food, Mithai",2.8,300
Chawla's Unique Chicken Corner,New Delhi,"North Indian, Mughlai",3.2,600
Dawat Khana,New Delhi,"North Indian, Mughlai, Chinese",2.5,1600
Eat n Joy,New Delhi,"North Indian, Mughlai",3.2,500
Khan Chicken Biryani,New Delhi,North Indian,2.9,500
Kolkata Roll,New Delhi,Fast Food,2.8,200
R. Ahmad Food,New Delhi,North Indian,3.0,450
Sab Ke Khatir,New Delhi,"North Indian, Mughlai",3.1,600
Bon Bon Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food",3.5,150
Moksha,New Delhi,North Indian,3.7,1400
Pebble Street,New Delhi,"Italian, Tex-Mex, Continental, North Indian",3.9,2400
Kebab Gallery,New Delhi,"North Indian, Lucknowi",0.0,400
Amber,New Delhi,"North Indian, Chinese, Mughlai",2.6,1800
Attitude Kitchen & Bar,New Delhi,"North Indian, Continental, Italian",2.9,1300
Cafe Coffee Day,New Delhi,Cafe,3.4,450
Castle 9,New Delhi,"Finger Food, Continental, North Indian, Chinese",3.1,1350
Costa Coffee,New Delhi,Cafe,3.4,600
Delhi Darbar Dhaba,New Delhi,"North Indian, Chinese",3.2,400
Garam Dharam,New Delhi,North Indian,3.4,1300
Gola Sizzlers,New Delhi,"Chinese, North Indian, Mughlai, Continental",3.0,1600
Indian Coffee House,New Delhi,Fast Food,3.3,200
My Bar Lounge & Restaurant,New Delhi,"North Indian, Chinese, Italian, Continental",2.7,1000
My Bar Square,New Delhi,"North Indian, Chinese, Italian, Continental",2.5,1000
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",3.4,600
The Immigrant Cafe,New Delhi,"North Indian, Italian, Continental",3.2,1100
MOB Brewpub,New Delhi,"Continental, Italian, Asian, Indian",4.7,1500
Naturals Ice Cream,New Delhi,Ice Cream,4.9,150
Zabardast Indian Kitchen,New Delhi,North Indian,4.7,1800
Anand Restaurant,New Delhi,North Indian,3.6,550
Berco's,New Delhi,"Chinese, Thai",3.9,1100
Blues,New Delhi,"Continental, Mexican, American, Italian, North Indian",3.7,1100
Burger King,New Delhi,"Burger, Fast Food",3.8,500
Burger Singh,New Delhi,"Burger, Juices, Finger Food",3.6,500
Cafe Coffee Day The Square,New Delhi,Cafe,3.6,700
Cafe Dalal Street,New Delhi,"North Indian, European",3.7,1500
Cafe Hawkers,New Delhi,"Chinese, Continental, North Indian",3.7,1200
Cafe Public Connection,New Delhi,"North Indian, Continental, Italian",3.7,1200
CafÃ­Â© MRP,New Delhi,"North Indian, Chinese, Italian, Mediterranean",3.6,800
Caffe Tonino,New Delhi,"Pizza, Italian, Cafe",3.9,1400
Cha Bar,New Delhi,Cafe,3.9,500
Chaayos,New Delhi,"Cafe, Tea",3.9,400
Chew - Pan Asian Cafe,New Delhi,"Asian, Japanese, Chinese, Thai",3.9,1700
China Garden,New Delhi,Chinese,3.9,1800
Desi Vibes,New Delhi,"North Indian, Mughlai",3.9,1400
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.7,700
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",3.8,600
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",3.9,600
Embassy,New Delhi,"North Indian, Continental, European",3.5,2000
FLYP@MTV,New Delhi,"North Indian, Mexican, Italian, Continental",3.9,1200
GoGourmet,New Delhi,"Healthy Food, Beverages",3.7,600
Haldiram's,New Delhi,"Street Food, North Indian, South Indian, Chinese, Mithai",3.9,550
Indian Grill Company,New Delhi,"North Indian, Continental",3.7,1300
Jain Chawal Wale,New Delhi,North Indian,3.8,250
Jungle Jamboree,New Delhi,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",3.8,1200
Kake Da Hotel,New Delhi,North Indian,3.5,600
Kebab Xpress,New Delhi,"North Indian, Mughlai",3.5,600
KFC,New Delhi,"American, Fast Food",3.7,500
Khan Chacha,New Delhi,"Mughlai, North Indian",3.7,650
Kinbuck 2,New Delhi,"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",3.9,1600
La Americana,New Delhi,"Fast Food, Burger",3.7,450
Lady Baga,New Delhi,"Goan, Seafood",3.7,1200
Life Caffe,New Delhi,"Cafe, North Indian, Italian, Japanese, Fast Food",3.6,1500
Lord of the Drinks,New Delhi,"European, Chinese, North Indian, Italian",3.9,2200
McDonald's,New Delhi,"Fast Food, Burger",3.8,500
McDonald's,New Delhi,"Fast Food, Burger",3.7,500
Moets Arabica,New Delhi,"Arabian, Mexican",3.5,400
Mother India,New Delhi,"Bengali, South Indian, North Indian, Mughlai",3.9,1400
Mughlai Junction,New Delhi,"North Indian, Mughlai",3.9,650
My Bar Headquarters,New Delhi,"North Indian, Mughlai, Chinese",3.7,1000
Nando's,New Delhi,"Portuguese, African",3.7,1200
Nizam's Kathi Kabab,New Delhi,"North Indian, Fast Food",3.8,900
Oh My God,New Delhi,"North Indian, Italian, Chinese, Mexican",3.8,1400
Open House Cafe,New Delhi,"North Indian, Chinese, Mughlai, Italian",3.8,1700
Parikrama - The Revolving Restaurant,New Delhi,"North Indian, Chinese, Mughlai",3.8,2400
Pind Balluchi,New Delhi,"North Indian, Mughlai",3.6,1000
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",3.5,1000
Playboy Cafe,New Delhi,"North Indian, Chinese, Continental",3.7,1100
Privee',New Delhi,"Chinese, Italian, Continental, North Indian",3.6,5000
Punjabi By Nature,New Delhi,"North Indian, Mughlai",3.7,1100
Quote - The Eclectic Bar and Lounge,New Delhi,"Finger Food, European, North Indian",3.5,1700
Rajdhani Thali Restaurant,New Delhi,"Gujarati, Rajasthani",3.6,950
Route 04,New Delhi,"Continental, American, Tex-Mex, North Indian",3.5,1350
Sbarro,New Delhi,"Pizza, Italian",3.5,600
Shake Square,New Delhi,"Beverages, Fast Food",3.7,400
South Indian Snacks,New Delhi,South Indian,3.6,300
SSKY Bar & Lounge,New Delhi,"Mughlai, North Indian, Chinese",3.5,2800
Starbucks,New Delhi,Cafe,3.8,700
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.5,500
Tamasha,New Delhi,"Finger Food, North Indian, Continental, Italian",3.7,1600
Taste of China,New Delhi,"Chinese, Thai",3.5,1200
Teddy Boy,New Delhi,"North Indian, Continental, Finger Food",3.9,1200
The Beer Cafe - BIGGIE,New Delhi,"Finger Food, North Indian, Italian",3.8,1250
The Flying Saucer Cafe,New Delhi,"Italian, Mediterranean, Continental, North Indian",3.9,1500
The Junkyard Cafe,New Delhi,"North Indian, Mediterranean, Asian",3.9,1500
The Luggage Room Kitchen And Bar,New Delhi,"North Indian, Continental, Fast Food",3.5,1400
The Rolling Joint,New Delhi,Fast Food,3.9,450
The Vault Cafe,New Delhi,"North Indian, Mediterranean, Asian, Continental",3.9,1600
Veda,New Delhi,"North Indian, Mughlai",3.9,1600
Warehouse Cafe,New Delhi,"American, Continental, Italian, North Indian, Asian",3.7,1500
Zaffran,New Delhi,"North Indian, Mughlai",3.9,1800
Zen,New Delhi,"Chinese, Japanese, Italian, Seafood",3.5,1500
Zizo,New Delhi,"Lebanese, Mediterranean, Middle Eastern, Arabian",3.9,1600
Kettle & Kegs,New Delhi,Tea,0.0,200
Ovenstory Pizza,New Delhi,"Pizza, Fast Food",0.0,500
Shree Hari Vaishnav Dhaba,New Delhi,North Indian,0.0,200
38 Barracks,New Delhi,"North Indian, Italian, Asian, American",4.4,1600
Ambrosia Bliss,New Delhi,"North Indian, Chinese, Italian, Continental",4.0,1800
Ardor 2.1,New Delhi,"North Indian, Chinese, Continental, Italian",4.1,2000
Barbeque Nation,New Delhi,"North Indian, Chinese",4.1,1600
Bikkgane Biryani,New Delhi,"Biryani, North Indian, Hyderabadi",4.1,800
Biryani Blues,New Delhi,"Biryani, Hyderabadi",4.0,1000
Caffe 9,New Delhi,"North Indian, Chinese, Italian, American, Middle Eastern",4.2,2000
Excuse Me Boss,New Delhi,"Continental, North Indian, Chinese, Mediterranean",4.1,1800
Fa Yian,New Delhi,Chinese,4.0,1200
Farzi Cafe,New Delhi,Modern Indian,4.4,2200
Fuji Japanese Restaurant,New Delhi,Japanese,4.0,2000
Healthy Routes,New Delhi,"Healthy Food, Continental, Italian",4.0,800
HotMess,New Delhi,"North Indian, Mediterranean, Asian, Fast Food",4.3,1900
House of Commons,New Delhi,"Continental, Mediterranean, Italian, North Indian",4.0,1400
Johnny Rockets,New Delhi,"Fast Food, American, Burger",4.0,1000
Odeon Social,New Delhi,"Continental, American, Asian, North Indian",4.1,1600
Pebble Street,New Delhi,"Italian, Mexican, Continental, North Indian, Finger Food",4.0,1800
Piali - The Curry Bistro,New Delhi,"Asian, North Indian",4.1,1200
Saravana Bhavan,New Delhi,South Indian,4.3,500
Smoke On Water,New Delhi,"Continental, Mexican, Burger, American, Pizza, Tex-Mex",4.1,1300
Starbucks,New Delhi,Cafe,4.1,700
The Darzi Bar & Kitchen,New Delhi,"North Indian, European",4.1,1500
The G.T. Road,New Delhi,"North Indian, Afghani, Mughlai",4.3,1500
The Town House Cafe,New Delhi,"Continental, North Indian, Italian, Asian",4.0,2100
United Coffee House,New Delhi,"North Indian, European, Asian, Mediterranean",4.1,2200
Unplugged Courtyard,New Delhi,"North Indian, Continental",4.0,1600
Wenger's Deli,New Delhi,"Bakery, Desserts, Fast Food",4.3,400
Wenger's,New Delhi,"Bakery, Fast Food, Desserts",4.3,400
{Niche} - Cafe & Bar,New Delhi,"North Indian, Chinese, Italian, Continental",4.1,1500
Chicken Minar,New Delhi,"North Indian, Chinese",2.6,550
G Lounge,New Delhi,"North Indian, Chinese",3.2,1900
Gyms Kook,New Delhi,"Continental, Italian",3.3,1000
Burger Joint,New Delhi,"Fast Food, Burger",3.5,300
Eleven to Eleven,New Delhi,"North Indian, Chinese",3.1,800
Le Chef,New Delhi,"North Indian, Chinese, South Indian, Fast Food",3.3,800
McDonald's,New Delhi,"Fast Food, Burger",3.4,500
The Buffet Wagon,New Delhi,North Indian,3.3,950
Haldiram's,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.5,600
Connexions Bar - Crowne Plaza,New Delhi,Finger Food,3.5,2500
Deli - Crowne Plaza,New Delhi,"Bakery, Desserts, Fast Food",3.7,1000
Lobby Lounge - Crowne Plaza,New Delhi,Finger Food,3.2,2000
Infinity - Crowne Plaza,New Delhi,"Italian, North Indian, Continental",3.5,3000
Fiery Grills,New Delhi,"North Indian, Chinese, Continental",3.3,1000
McDonald's,New Delhi,"Fast Food, Burger",3.4,500
Cafe Desire,New Delhi,"North Indian, Chinese, Finger Food",3.5,1000
Haldiram's,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.7,550
Kake Di Hatti,New Delhi,North Indian,3.5,400
Akash Deep,New Delhi,"North Indian, South Indian, Chinese, Fast Food",2.8,600
Al Saad Foods,New Delhi,"North Indian, Fast Food",3.2,400
Cafe Coffee Day,New Delhi,Cafe,2.8,450
Chandrika,New Delhi,North Indian,2.9,400
Dawat-E-Chaman,New Delhi,"North Indian, Mughlai",3.4,400
Kallu Nihari,New Delhi,Mughlai,3.0,150
King Bikaneri,New Delhi,"North Indian, Chinese, Fast Food, South Indian",2.9,400
Manchanda Bakery,New Delhi,"Bakery, Fast Food",3.1,200
McDonald's,New Delhi,"Fast Food, Burger",2.8,500
Mehta Restaurant,New Delhi,"Street Food, Mithai",3.2,150
Shree Jee Rasoi,New Delhi,"North Indian, Chinese",3.0,500
Taj Snacks,New Delhi,South Indian,3.0,200
Zaika,New Delhi,"North Indian, Chinese, Mughlai",3.4,600
Bagli's Kitchen,New Delhi,Parsi,3.7,500
Bhaja Govindam,New Delhi,"North Indian, South Indian",3.8,700
Changezi Chicken,New Delhi,"North Indian, Mughlai",3.7,500
Dilli Gate,New Delhi,"North Indian, Chinese, Mughlai",3.5,500
Jahangeer Foods,New Delhi,"North Indian, Mughlai",3.8,600
Moti Mahal,New Delhi,"North Indian, Chinese",3.6,1100
Nandlal Ka Dhaba,New Delhi,"North Indian, Mughlai",3.6,500
Sugandh,New Delhi,North Indian,3.7,400
Suvidha Vegetarian,New Delhi,North Indian,3.6,350
Anupam Jalpan,New Delhi,North Indian,0.0,200
Aunty's Kitchen,New Delhi,North Indian,0.0,100
Cafe Coffee Day,New Delhi,Cafe,0.0,450
Delhi 6 Foods,New Delhi,North Indian,0.0,300
Fry Centre,New Delhi,North Indian,0.0,200
Hilal Hotel Nihari,New Delhi,Mughlai,0.0,400
Iqbal's Mughal Cuisine,New Delhi,"North Indian, Mughlai",0.0,500
Kake Di Hatti Punjabi Khana,New Delhi,North Indian,0.0,200
Kaushal Dhaba,New Delhi,North Indian,0.0,150
Khan Foods,New Delhi,Mughlai,0.0,400
Kumar Sweet House,New Delhi,"Mithai, Street Food",0.0,150
Negi Restaurant,New Delhi,North Indian,0.0,150
Old Delhi Food Factory,New Delhi,Mughlai,0.0,500
Parantha Point,New Delhi,North Indian,0.0,100
R.P.W Pizza,New Delhi,Pizza,0.0,300
Rajdhani Restaurant,New Delhi,North Indian,0.0,400
Roll's World,New Delhi,Fast Food,0.0,200
Shree Krishna Dhaba,New Delhi,"North Indian, South Indian",0.0,100
Taj Chicken Point,New Delhi,"North Indian, Mughlai",0.0,400
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.3,700
Delhi 6 - Royal Cuisine Of The Walled City,New Delhi,Mughlai,4.1,500
Food Hub,New Delhi,"Bakery, Fast Food",3.0,150
RR China Tawun,New Delhi,Chinese,0.0,250
Aka Saka,New Delhi,"Chinese, Japanese",3.3,1200
Anil Mishtan Wala,New Delhi,"Mithai, Street Food",3.1,100
Barista,New Delhi,Cafe,3.3,650
Cafe 1 Fast Food,New Delhi,"Fast Food, Street Food",3.0,200
Cake Central - Premier Cake Design Studio,New Delhi,"Bakery, Desserts",3.4,300
Chawla's Tandoori Junction,New Delhi,"North Indian, Chinese, Mughlai",3.3,600
Chawnsan Chef,New Delhi,"Mughlai, North Indian, Chinese",3.4,700
Choco Kraft,New Delhi,"Bakery, Desserts",3.2,300
Colonel's Kababz,New Delhi,"North Indian, Mughlai",3.2,900
Confectionately Seerat's,New Delhi,"Bakery, Desserts",3.2,600
Country Curries,New Delhi,"North Indian, Bengali",2.7,700
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.5,700
Duggal's Rasoi,New Delhi,"North Indian, Mughlai",3.4,600
Firefly India,New Delhi,"Bakery, Desserts",3.4,500
Fluffles - The Fluffy Waffle Co.,New Delhi,Desserts,2.5,300
Giani's,New Delhi,"Ice Cream, Desserts",2.8,400
Giani,New Delhi,"Ice Cream, Desserts",3.3,400
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",2.7,350
Gulshan Fish & Chicken Fry,New Delhi,North Indian,3.2,450
Kitchen22,New Delhi,Fast Food,3.1,500
La Chocoallure,New Delhi,Desserts,2.9,250
Little Dragon,New Delhi,"Fast Food, Chinese",2.9,300
Maddi Sweet Centre,New Delhi,"Mithai, Street Food",3.2,150
Man Vs Food The Kitchen,New Delhi,"North Indian, Mughlai",3.1,600
MB's,New Delhi,"Continental, Chinese, North Indian",3.1,1600
Moet's Sizzlers,New Delhi,Continental,3.0,1600
Oberoi's,New Delhi,"North Indian, Mughlai",3.2,450
Punjabee's Darbar,New Delhi,"North Indian, Chinese",3.3,550
Qureshi's Kabab Corner,New Delhi,"North Indian, Mughlai",3.4,600
Saleem's Restaurant,New Delhi,"North Indian, Mughlai, Chinese",3.2,600
Suri Saab Restaurant,New Delhi,"North Indian, Chinese, Mughlai",3.0,600
The Sweet Boutique,New Delhi,Bakery,3.3,300
Tibb's Frankie,New Delhi,Fast Food,3.2,300
Veg Ex,New Delhi,North Indian,3.4,500
Zaaika Junction,New Delhi,"North Indian, Mughlai, Chinese",2.6,500
28 Capri Italy,New Delhi,Italian,3.9,1500
4S Chinese Restaurant,New Delhi,"Chinese, Thai",3.5,700
Amici Cafe,New Delhi,"Cafe, Italian",3.6,1200
Angels in my Kitchen,New Delhi,"Bakery, Desserts, Fast Food",3.8,350
Arabian Delites,New Delhi,"Lebanese, Arabian",3.6,600
Baskin Robbins,New Delhi,Ice Cream,3.7,300
Cafe Brown Sugar,New Delhi,"Cafe, Italian, Chinese",3.7,1000
Chakhnaa Wala,New Delhi,"Mughlai, Fast Food",3.5,400
Cocoberry,New Delhi,Desserts,3.6,300
Concept,New Delhi,"North Indian, Mughlai, Chinese",3.9,600
Deez Biryani & Kebabs,New Delhi,"Biryani, North Indian, Mughlai",3.7,800
Def Col Social,New Delhi,"Continental, American, Asian, North Indian",3.9,1600
DÃ­_ner Grill,New Delhi,"Fast Food, Turkish",3.8,900
Hong Kong Express,New Delhi,"Chinese, Thai",3.8,700
Kent's Fast Food,New Delhi,"Burger, Fast Food",3.7,500
Koyla Kebab,New Delhi,"North Indian, Mughlai",3.6,700
Meraki Cafe & Bar,New Delhi,"North Indian, Continental, Chinese, Italian",3.6,1400
Milk Patisserie,New Delhi,"Bakery, Desserts",3.8,300
Moets Curry Leaf,New Delhi,"North Indian, Mughlai, Kashmiri",3.5,1500
Moets Oh! Bao,New Delhi,"Chinese, Japanese, Thai",3.6,1200
Moets Shack,New Delhi,"Seafood, Continental, European",3.7,1800
Moets Stone,New Delhi,Italian,3.8,2000
Moti Mahal Delux,New Delhi,"North Indian, Mughlai, Chinese",3.8,1000
Nizam's Kathi Kabab,New Delhi,"North Indian, Fast Food",3.8,900
NYC.PIE,New Delhi,"Italian, Pizza",3.8,900
Raro,New Delhi,"Cafe, Bakery",3.7,800
Sagar Ratna,New Delhi,"North Indian, Chinese",3.7,600
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.6,500
Swagath,New Delhi,"North Indian, Chinese, South Indian, Seafood, Chettinad",3.9,1500
The Jugaad Cafe Bar,New Delhi,"North Indian, Chinese, Continental",3.8,1800
Chicken Biryani Centre,New Delhi,Biryani,0.0,200
Ekta Restaurant,New Delhi,North Indian,0.0,200
Garam Masala,New Delhi,North Indian,0.0,300
Gulati Food Corner,New Delhi,Chinese,0.0,150
Kolkatta Kathi Roll,New Delhi,"North Indian, Fast Food",0.0,150
Muradabadi Shahi Biryani & Chicken Corner,New Delhi,Mughlai,0.0,400
Rara Dragon,New Delhi,Chinese,0.0,500
Mehfil,New Delhi,"North Indian, Mughlai",2.4,600
Bonne Bouche,New Delhi,"Italian, French",4.1,1750
Cafe Yell,New Delhi,"Cafe, Continental, Italian",4.4,1000
Defence Bakery,New Delhi,"Bakery, Fast Food",4.1,400
Desi Vibes,New Delhi,"North Indian, Mughlai",4.0,1500
Ek Bar,New Delhi,Modern Indian,4.1,1700
Hwealthcafe,New Delhi,"Cafe, Healthy Food, Continental",4.1,800
Kathputli,New Delhi,Rajasthani,4.1,900
Kulfiano,New Delhi,Ice Cream,4.0,200
Number 31,New Delhi,"Continental, Asian, Sushi",4.2,1600
RoadRomeo,New Delhi,"North Indian, Hyderabadi, Kashmiri, Chinese",4.0,1650
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",4.0,600
The Culinary Pitaara,New Delhi,"North Indian, Chinese",4.2,900
Whipped,New Delhi,"Bakery, Desserts",4.2,550
Milko's,New Delhi,"Street Food, Mithai",0.0,200
Mom's Bake,New Delhi,"Bakery, Fast Food",0.0,200
RV Restaurant,New Delhi,"North Indian, Chinese, South Indian",0.0,300
Turning Point Fast Food,New Delhi,"South Indian, Chinese, Continental",0.0,600
A Vaishno Bhojnalaya,New Delhi,North Indian,3.1,100
Aim Delhi Cafe,New Delhi,Cafe,3.4,400
Apni Rasoi,New Delhi,"North Indian, Chinese",2.8,400
Blue Bull Cafe,New Delhi,"Cafe, North Indian, Chinese",2.8,800
Cafe Bethak,New Delhi,"Cafe, Continental, Chinese",3.4,600
Cafe Coffee Day,New Delhi,Cafe,3.4,450
Cafe Coffee Day,New Delhi,Cafe,3.2,450
Chakhlo Food Court,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food",2.6,300
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.5,700
Frontier,New Delhi,"Bakery, Desserts",3.0,200
Good Foods,New Delhi,"North Indian, Fast Food, Chinese",3.3,300
Grain Bell Restaurant,New Delhi,"North Indian, Chinese",2.8,450
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.1,350
Grover's - The Baker Shop,New Delhi,"Bakery, Fast Food",3.0,100
Hookups Cafe & Lounge,New Delhi,"Chinese, Continental, North Indian",3.3,850
Jai Hind Dairy,New Delhi,Mithai,2.8,100
Kaveri,New Delhi,North Indian,3.3,300
Khushboo Vaishno Dhaba,New Delhi,North Indian,2.9,150
Korea Restaurant,New Delhi,Korean,3.0,900
Kukkad Nukkad,New Delhi,North Indian,3.0,600
Metro Fast Food,New Delhi,"Chinese, Fast Food",2.6,350
Mughlai Flavours,New Delhi,Mughlai,3.2,300
Pitstop,New Delhi,"North Indian, Mughlai, Chinese",3.3,600
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",3.4,1000
Prince Snacks & Momo's Point,New Delhi,Chinese,3.4,300
Qash Retro Bar,New Delhi,"Finger Food, North Indian, Italian",2.7,2000
Red Chillies,New Delhi,Fast Food,3.3,250
Samrat Bakers,New Delhi,"Bakery, Fast Food",2.6,200
Samrat Restaurant,New Delhi,"North Indian, Chinese, South Indian, Fast Food",3.4,700
Shammi Bhai Lassi Wala,New Delhi,"Chinese, Beverages",3.2,400
Shooters Lounge and Bar,New Delhi,"North Indian, Chinese",2.7,1100
Singh Ching,New Delhi,"North Indian, Chinese, Mughlai",3.4,600
Southy,New Delhi,South Indian,2.6,450
Take n Taste Shawarma Zone,New Delhi,Fast Food,3.0,100
The Night Owl,New Delhi,Chinese,2.8,450
Tilak's The Diners,New Delhi,"North Indian, Chinese, Fast Food",3.1,700
Spezia Bistro,New Delhi,"Cafe, Continental, Chinese, Italian",4.6,900
Cent Percent The Pastry Shop,New Delhi,"Bakery, Fast Food",3.6,250
For God's Cake,New Delhi,Bakery,3.9,250
Laxmi Ice Cream,New Delhi,"Ice Cream, Desserts",3.7,150
Mirch Masala MM Cafe,New Delhi,"North Indian, Chinese, Cafe",3.7,550
Moh Maya Cafe,New Delhi,"North Indian, Continental, Chinese, Italian, Lebanese",3.7,1000
QD's Restaurant,New Delhi,"Chinese, North Indian, Fast Food, Italian",3.9,800
SuperHero Cafe,New Delhi,"Cafe, Chinese, Italian",3.8,550
Suresh Fast Food,New Delhi,"North Indian, Chinese",3.7,250
Wood Box Cafe,New Delhi,"Cafe, Fast Food, Italian, Chinese",3.8,650
Best Biryani,New Delhi,Mughlai,0.0,400
Derawal Soda Fountain,New Delhi,Beverages,0.0,100
Eat & Gulp,New Delhi,"Fast Food, Italian",0.0,300
L.N Live Kitchen,New Delhi,"Chinese, Fast Food",0.0,300
Papa Buns,New Delhi,Cafe,0.0,250
Preet Fast Foods,New Delhi,Street Food,0.0,50
Sikkim Chinese Food,New Delhi,Chinese,0.0,350
Tawa King,New Delhi,North Indian,0.0,350
The Pork Shop,New Delhi,Chinese,0.0,400
TiffinToons,New Delhi,"North Indian, South Indian",0.0,200
Vaishno Rasoi,New Delhi,North Indian,0.0,350
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",2.4,600
Slice of Italy,New Delhi,"Italian, Pizza, Bakery",2.4,700
Bakar The Cafe,New Delhi,Cafe,4.1,400
Indus Flavour,New Delhi,"North Indian, Chinese, Cafe",4.1,700
